#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTArdu_events.9;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.9;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.9;5000;;;;;;;;;;;;;x
EVTOPTDrdu_events.9;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.10;How many Light Infantry?;;;;;;;;;;;;;x
EVTOPTArdu_events.10;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.10;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.10;5000;;;;;;;;;;;;;x
EVTOPTDrdu_events.10;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.11;How many Archers?;;;;;;;;;;;;;x
EVTOPTArdu_events.11;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.11;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.11;5000;;;;;;;;;;;;;x
EVTOPTDrdu_events.11;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.12;Convert to what government type?;;;;;;;;;;;;;x
EVTOPTArdu_events.12;Feudal/Iqta;;;;;;;;;;;;;x
EVTOPTBrdu_events.12;Merchant Republic;;;;;;;;;;;;;x
EVTOPTCrdu_events.12;Tribal;;;;;;;;;;;;;x
EVTOPTDrdu_events.12;Nomadic;;;;;;;;;;;;;x
EVTOPTArdu_events.13;Spawn Horse Archers;;;;;;;;;;;;;x
EVTOPTBrdu_events.13;Spawn War Elephants;;;;;;;;;;;;;x
EVTOPTCrdu_events.13;Spawn Camel Cavalry;;;;;;;;;;;;;x
EVTDESCrdu_events.14;How many War Elephants?;;;;;;;;;;;;;x
EVTOPTArdu_events.14;25;;;;;;;;;;;;;x
EVTOPTBrdu_events.14;100;;;;;;;;;;;;;x
EVTOPTCrdu_events.14;300;;;;;;;;;;;;;x
EVTDESCrdu_events.15;How many Camel Cavalry?;;;;;;;;;;;;;x
EVTOPTArdu_events.15;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.15;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.15;5000;;;;;;;;;;;;;x
EVTDESCrdu_events.16;I am...;;;;;;;;;;;;;x
EVTOPTArdu_events.16;Immortal!;;;;;;;;;;;;;x
EVTOPTBrdu_events.16;A beast!;;;;;;;;;;;;;x
EVTOPTCrdu_events.16;Indecisive! (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.17;Are you sure you want to remove the "RDU More Options" decision?;;;;;;;;;;;;;x
EVTOPTArdu_events.17;Yes;;;;;;;;;;;;;x
EVTOPTBrdu_events.17;No (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.18;I am...;;;;;;;;;;;;;x
EVTOPTArdu_events.18;A horse!;;;;;;;;;;;;;x
EVTOPTBrdu_events.18;A cat!;;;;;;;;;;;;;x
EVTOPTCrdu_events.18;(More Options);;;;;;;;;;;;;x
EVTOPTDrdu_events.18;Indecisive! (Exit);;;;;;;;;;;;;x
EVTOPTArdu_events.19;A bear!;;;;;;;;;;;;;x
EVTOPTBrdu_events.19;A hedgehog!;;;;;;;;;;;;;x
EVTOPTArdu_events.20;A duck!;;;;;;;;;;;;;x
EVTOPTBrdu_events.20;A dog!;;;;;;;;;;;;;x
EVTOPTArdu_events.21;An elephant!;;;;;;;;;;;;;x
EVTOPTBrdu_events.21;A dragon!;;;;;;;;;;;;;x
EVTDESCrdu_events.22;What kind of troops?;;;;;;;;;;;;;x
EVTOPTArdu_events.22;Spawn Special Troops;;;;;;;;;;;;;x
EVTOPTBrdu_events.22;Back To First Options;;;;;;;;;;;;;x
EVTOPTCrdu_events.22;Never Mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.23;How many Pikemen?;;;;;;;;;;;;;x
EVTOPTArdu_events.23;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.23;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.23;5000;;;;;;;;;;;;;x
